year,start_station_id,total_bikes,started_at
2023,4366.10,120,120
2023,4368.05,931,931
2023,4371.01,636,636
2023,4374.01,20,20
2023,4375.02,134,134
2023,4377.04,530,530
2023,4380.08,322,322
2023,4383.06,275,275
2023,4386.05,663,663
2023,4392.04,486,486
2023,4395.07,1443,1443
2023,4399.03,92,92
2023,4404.10,439,439
2023,4408.07,54,54
2023,4413.08,491,491
2023,4416.10,194,194
2023,4419.03,536,536
2023,4422.04,300,300
2023,4422.05,292,292
2023,4425.02,344,344
2023,4428.02,512,512
2023,4432.10,120,120
2023,4434.06,704,704
2023,4437.01,733,733
2023,4437.09,367,367
2023,4440.02,19,19
2023,4441.06,180,180
2023,4446.01,1137,1137
2023,4446.03,566,566
2023,4446.05,408,408
2023,4450.06,239,239
2023,4452.01,890,890
2023,4452.03,631,631
2023,4455.10,975,975
2023,4455.11,890,890
2023,4458.06,226,226
2023,4461.01,557,557
2023,4461.04,1103,1103
2023,4467.03,351,351
2023,4470.09,1295,1295
2023,4474.01,74,74
2023,4476.03,306,306
2023,4479.06,1167,1167
2023,4479.10,1427,1427
2023,4483.10,322,322
2023,4488.08,988,988
2023,4491.09,208,208
2023,4494.04,462,462
2023,4497.09,316,316
2023,4500.07,238,238
2023,4507.07,215,215
2023,4510.04,570,570
2023,4513.06,981,981
2023,4513.09,439,439
2023,4517.03,207,207
2023,4519.02,528,528
2023,4519.04,437,437
2023,4522.07,651,651
2023,4526.01,358,358
2023,4528.01,706,706
2023,4531.05,976,976
2023,4534.06,157,157
2023,4543.07,310,310
2023,4546.04,745,745
2023,4546.05,608,608
2023,4550.05,209,209
2023,4553.04,737,737
2023,4560.01,216,216
2023,4565.07,987,987
2023,4568.01,176,176
2023,4576.11,187,187
2023,4582.08,80,80
2023,4587.02,177,177
2023,4590.01,7,7
2023,4591.04,258,258
2023,4596.05,674,674
2023,4596.09,1373,1373
2023,4600.09,253,253
2023,4605.04,1316,1316
2023,4608.01,319,319
2023,4611.03,1224,1224
2023,4614.04,661,661
2023,4615.01,98,98
2023,4617.01,430,430
2023,4620.02,950,950
2023,4623.02,180,180
2023,4628.05,982,982
2023,4628.07,686,686
2023,4632.10,258,258
2023,4634.02,491,491
2023,4637.06,1053,1053
2023,4637.07,524,524
2023,4640.01,295,295
2023,4645.04,527,527
2023,4645.09,735,735
2023,4648.03,294,294
2023,4651.02,1203,1203
2023,4654.01,186,186
2023,4656.03,490,490
2023,4659.02,424,424
2023,4663.02,149,149
2023,4663.06,120,120
2023,4665.02,550,550
2023,4668.08,617,617
2023,4672.01,128,128
2023,4677.01,486,486
2023,4677.06,723,723
2023,4680.05,225,225
2023,4683.02,1068,1068
2023,4687.03,26,26
2023,4689.03,466,466
2023,4689.08,273,273
2023,4692.01,510,510
2023,4695.04,199,199
2023,4697.01,215,215
2023,4700.06,285,285
2023,4707.03,367,367
